SeniorCitizen,Partner,Dependents,tenure,PhoneService,PaperlessBilling,MonthlyCharges,TotalCharges,gender_Male,MultipleLines_No phone service,MultipleLines_Yes,InternetService_Fiber optic,InternetService_No,OnlineSecurity_No internet service,OnlineSecurity_Yes,OnlineBackup_No internet service,OnlineBackup_Yes,DeviceProtection_No internet service,DeviceProtection_Yes,TechSupport_No internet service,TechSupport_Yes,StreamingTV_No internet service,StreamingTV_Yes,StreamingMovies_No internet service,StreamingMovies_Yes,Contract_One year,Contract_Two year,PaymentMethod_Credit card (automatic),PaymentMethod_Electronic check,PaymentMethod_Mailed check,churn_risk_score,actual_churn
1,1,0,72,1,0,98.35,6929.4,True,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,0.22,0
0,1,1,59,1,1,96.65,5580.8,False,False,True,True,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,0.08,0
0,1,1,70,1,0,75.35,5437.75,False,False,False,False,False,False,True,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,0.04,0
0,1,1,70,1,1,101.1,6994.8,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,True,False,False,0.01,0
0,1,1,9,1,0,103.1,970.45,True,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,True,False,0.51,0
0,0,0,3,1,0,24.6,86.35,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.16,0
1,0,0,17,1,1,101.8,1752.45,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.65,0
0,1,1,28,1,1,70.4,1992.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.37,0
0,0,0,10,1,0,54.25,583.0,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.22,0
0,1,1,11,1,0,20.95,267.35,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,False,0.04,0
1,1,0,72,1,1,102.65,7550.3,True,False,True,True,False,False,True,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,0.04,0
0,0,0,8,1,1,70.1,551.35,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.3,1
1,0,0,69,1,0,20.3,1356.3,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.01,0
0,1,1,39,1,1,19.85,854.8,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0,0
0,1,1,67,0,0,50.9,3281.65,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,True,False,False,0.0,0
0,0,0,39,1,0,19.9,791.15,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.0,0
0,1,1,54,1,1,65.65,3566.7,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,0.04,0
0,0,0,1,1,1,74.5,74.5,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.93,1
0,1,1,72,0,1,60.0,4264.0,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0.08,0
0,0,0,10,1,0,98.55,1008.55,True,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.63,1
0,1,1,13,1,1,96.65,1162.85,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,0.56,1
0,0,0,35,1,1,99.25,3532.0,False,False,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,True,False,False,True,False,0.46,0
0,1,1,12,0,0,35.5,432.25,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,0.12,0
0,1,0,31,1,1,90.55,2929.75,True,False,True,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,0.15,0
0,1,1,53,1,1,108.25,5935.1,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,0.15,0
0,0,0,1,1,1,19.5,19.5,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.62,0
0,0,0,30,1,0,19.7,625.05,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.0,0
0,0,0,46,1,1,74.8,3548.3,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.32,0
0,1,0,19,1,0,89.65,1761.05,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,0.25,1
0,1,0,23,1,0,54.25,1221.55,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.19,0
1,0,0,15,1,0,55.0,757.1,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,0.27,1
0,0,0,48,1,0,20.15,982.95,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.0,0
0,0,1,25,1,1,95.9,2448.75,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,True,False,0.38,1
0,0,0,52,1,1,105.0,5426.85,True,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,False,False,0.29,1
0,0,0,12,1,0,81.7,858.6,True,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,0.23,1
0,0,0,48,1,0,24.55,1203.95,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0.0,0
0,0,0,38,1,0,20.05,741.5,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.01,0
0,0,0,18,0,1,35.2,607.3,False,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.43,0
0,1,0,45,1,1,50.25,2221.55,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.13,0
0,0,0,12,1,1,89.55,1021.75,True,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.52,0
1,0,0,66,1,1,102.4,6471.85,False,False,True,True,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,0.1,0
0,0,0,72,1,0,20.25,1566.9,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.0,0
0,0,0,70,0,1,44.6,3058.15,False,True,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0.0,0
0,1,0,27,1,0,90.15,2423.4,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,0.28,0
0,0,0,1,1,0,20.0,20.0,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.11166666666666668,0
1,1,0,13,1,1,95.25,1233.65,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.74,1
0,1,1,65,1,1,90.45,5957.9,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,True,0.0,0
0,1,1,14,1,0,70.2,1046.5,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.43,0
0,1,1,17,1,1,85.45,1451.6,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.57,1
0,0,0,31,1,0,20.95,683.25,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.02,0
0,1,1,24,1,0,24.2,609.05,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.01,0
0,0,0,3,1,0,20.2,65.95,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.3,0
0,0,0,17,1,1,76.65,1313.55,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.47,1
0,0,0,66,1,0,68.75,4447.55,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0.0,0
0,1,0,45,1,0,53.3,2296.25,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,0.12,0
0,1,0,35,1,1,91.5,3236.35,True,False,True,True,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.27,0
0,0,1,40,0,0,40.25,1564.05,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,0.05,0
0,0,0,10,1,1,84.7,832.05,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,0.42,1
0,1,0,52,1,1,64.3,3410.6,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,0.05,0
0,0,0,13,1,0,19.45,232.1,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,0.03,0
1,0,0,43,1,1,90.25,3838.75,False,False,True,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,0.38,0
0,0,0,41,1,0,20.45,775.6,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,0.04,0
1,0,0,52,0,1,50.5,2566.3,False,True,False,False,False,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,0.2,0
0,1,0,71,1,0,93.2,6506.15,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,True,False,False,0.0,0
0,0,0,61,1,1,106.45,6300.15,True,False,True,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True,False,0.28,0
0,0,0,26,0,1,44.45,1183.8,False,True,False,False,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,0.16,0
0,1,1,72,1,0,68.4,4855.35,True,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,0.05,0
0,0,0,42,1,1,78.45,3373.4,False,False,True,False,False,False,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0.02,0
0,1,1,57,1,0,65.2,3687.85,False,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0
0,1,1,9,1,0,19.6,197.4,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.01,0
0,0,0,9,1,0,71.0,672.55,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.33,1
0,1,0,33,1,1,44.55,1462.6,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0.11,0
0,0,0,1,1,0,19.45,19.45,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.33,0
0,0,0,7,1,1,79.0,522.95,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.81,1
0,0,0,1,1,1,71.55,71.55,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.55,1
0,1,1,65,1,0,19.9,1292.6,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0
0,0,0,10,1,1,86.05,834.1,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,0.67,1
0,1,0,70,1,1,95.0,6602.9,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0.12,0
0,0,0,29,1,1,98.6,2933.2,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.38,1
0,1,1,21,1,0,104.4,2157.95,True,False,True,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,False,0.43,1
0,1,0,1,1,1,90.75,90.75,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.75,1
0,0,0,5,1,0,20.25,109.8,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.11,0
0,1,0,56,1,0,89.7,4952.95,True,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,0.37,0
0,0,1,35,1,1,85.15,3030.6,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,0.34,1
0,1,1,10,1,0,20.45,242.4,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,True,0.01,0
0,0,0,31,0,1,49.85,1520.1,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,0.02,0
1,1,0,37,1,1,85.7,3171.15,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.53,1
1,1,0,57,1,1,95.25,5427.05,True,False,True,True,False,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,0.22,1
0,1,1,34,1,1,25.6,917.15,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.03,0
0,0,0,3,1,1,99.0,287.4,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,False,0.64,1
0,0,0,4,1,1,82.85,319.6,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.71,0
0,0,0,54,1,1,20.5,1035.7,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0
0,0,1,6,1,0,19.7,111.65,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.01,0
0,1,0,22,1,1,59.75,1374.35,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,0.1,0
0,0,0,23,1,1,96.9,2085.45,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,0.32,0
0,1,0,68,1,0,58.25,3975.7,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.01,0
0,1,1,48,1,0,20.0,935.9,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0
0,1,1,34,1,0,20.8,635.9,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.01,0
0,0,0,41,1,1,79.85,3320.75,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,False,False,0.1,0
0,0,0,9,1,1,75.85,724.65,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.58,0
1,0,0,18,1,1,103.6,1806.35,False,False,True,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,False,False,0.52,0
0,0,0,35,1,0,95.5,3418.2,True,False,True,True,False,False,False,False,False,False,True,False,True,False,True,False,False,False,False,False,True,False,0.27,0
0,1,1,55,1,0,79.4,4238.45,True,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,0.21,0
0,0,0,54,1,1,108.0,5760.65,True,False,True,True,False,False,True,False,True,False,False,False,True,False,True,False,True,False,True,True,False,False,0.28,0
1,0,0,2,1,1,78.55,149.55,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,0.86,1
0,1,0,52,1,1,106.3,5487.0,True,False,False,True,False,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,0.18,0
0,0,0,72,1,0,69.65,4908.25,True,False,True,False,False,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,0.02,0
0,1,0,9,1,1,70.05,564.4,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,True,0.4,0
0,1,1,3,1,1,69.55,200.2,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.53,0
1,0,0,4,1,0,75.35,273.4,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.32,0
0,1,1,69,1,1,75.75,5388.15,True,False,False,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,True,False,False,False,0.0,0
0,1,1,67,0,0,35.7,2545.7,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,0.01,0
0,0,0,4,1,1,79.9,324.3,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.61,1
0,0,0,13,0,1,45.55,597.0,True,True,False,False,False,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,0.28,1
0,1,1,45,1,1,81.0,3533.6,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,True,0.0,0
0,0,0,68,1,0,101.35,7110.75,True,False,True,True,False,False,True,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,0.05,0
0,1,1,69,1,0,73.7,4885.85,False,False,True,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False,True,False,False,0.06,0
0,0,0,70,0,1,58.35,4214.25,False,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,False,False,False,0.0,0
0,0,0,1,1,1,19.9,19.9,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,0.5918333333333333,1
0,1,1,45,1,1,25.9,1216.6,False,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,0.0,0
0,0,1,37,1,0,20.3,755.4,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,True,False,False,False,False,0.03,0
0,0,1,10,0,0,40.25,411.45,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,True,0.05,0
0,0,1,1,1,1,89.35,89.35,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,0.75,0
0,1,1,29,1,0,69.05,1958.45,True,False,True,False,False,False,True,False,False,False,False,False,True,False,True,False,False,True,False,False,False,False,0.1,0
1,1,1,72,1,1,104.1,7447.7,True,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,0.01,0
0,0,0,2,1,1,75.9,143.35,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.77,1
0,1,0,24,1,0,53.6,1315.35,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,0.04,0
0,0,0,4,1,1,79.15,317.25,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,0.83,1
0,1,0,72,1,0,19.3,1304.8,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,True,False,False,0.01,0
0,0,0,11,1,1,79.0,929.3,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,0.33,0
0,0,1,44,1,0,19.9,868.1,False,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0
0,1,1,62,1,0,20.45,1297.35,True,False,False,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,False,0.0,0
0,1,1,70,1,0,25.4,1782.05,True,False,True,False,True,True,False,True,False,True,False,True,False,True,False,True,False,False,True,False,False,True,0.0,0
1,0,0,1,0,0,25.05,25.05,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,0.63,1
0,0,0,4,1,1,105.65,443.9,False,False,False,True,False,False,False,False,True,False,True,False,True,False,True,False,True,True,False,False,True,False,0.41,1
1,0,0,2,1,1,85.55,187.45,False,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,0.84,1
